No;Title;ISSN;Branches;Date;
1.;Abyss (Вопросы философии, политологии и социальной антропологии);2587-7534;"5.6.4. Этнология, антропология и этнография (исторические науки),
Философия науки и техники (философские науки),
Социальная и политическая философия (философские науки),
Философская антропология,
философия культуры (философские науки),
5.5.2. Политические институты, процессы, технологии (политические науки)";с 28.09.2021;
2.;Academia. Архитектура и строительство;2077-9038;17.00.04 – Изобразительное и декоративно-прикладное искусство и архитектура (искусствоведение);"с 28.12.2018
по 16.10.2022";
;;;"Строительные конструкции, здания и сооружения (технические науки),
Основания и фундаменты, подземные сооружения (технические науки),
Теплоснабжение, вентиляция, кондиционирование воздуха, газоснабжение и освещение(технические науки),
2.1.5. Строительные материалы и изделия (технические науки),
2.1.7. Технология и организация строительства (технические науки),
2.1.9. Строительная механика (технические науки),
Теория и история архитектуры, реставрация и реконструкция историко-архитектурного наследия (архитектура),
Архитектура зданий и сооружений. Творческие концепции архитектурной деятельности (архитектура)
Градостроительство, планировка сельских населенных пунктов (архитектура),
5.6.6. История науки и техники (архитектура),";с 01.02.2022;
3.;Acta biomedica scientifica;2541-9420;"Педиатрия (медицинские науки),
Инфекционные болезни (медицинские науки),";с 01.02.2022;
;"(перевод наименования на государственный язык Российской Федерации: Научный биомедицинский журнал)
(До 02.10.2017 г. наименование в Перечне «Бюллетень Восточно-Сибирского научного центра СО РАМН (Bulletin of the East Siberian Scientific Center SB RAMS"" ISSN 1811-0649)";;"3.1.24. Неврология (медицинские науки),
3.1.26. Фтизиатрия (медицинские науки),
Акушерство и гинекология (медицинские науки), Офтальмология (медицинские науки),
Травматология и ортопедия (медицинские науки),  Хирургия (медицинские науки),
3.2.2. Эпидемиология (медицинские науки)
3.3.3. Патологическая физиология (биологические науки)
3.3.3. Патологическая физиология (медицинские науки),
3.3.6. Фармакология, клиническая фармакология (медицинские науки)";;
4.;Acta Linguistica Petropolitana. Труды Института лингвистических исследований РАН;2306-5737;"10.01.01 – Русская литература (филологические науки),
10.02.01 – Русский язык (филологические науки), – Славянские языки (филологические науки), – Германские языки (филологические науки), – Теория языка (филологические науки),
– Сравнительно-историческое типологическое и сопоставительное языкознание (филологические науки),
10.02.22 – Языки народов зарубежных стран Европы, Азии, Африки, аборигенов Америки и Австралии (с указанием конкретного языка или языковой семьи) (филологические науки)";"с 28.12.2018
по 16.10.2022";
;;;"5.6.4. Этнология, антропология и этнография (исторические науки),
5.9.4. Фольклористика (филологические науки),
5.9.7. Классическая, византийская и новогреческая филология (филологические науки)";с 01.02.2022;
;;;"5.9.3. Теория литературы (филологические науки), Русский язык. Языки народов России (филологические науки),
Языки народов зарубежных стран(с указанием конкретного языка или группы языков) (филологические науки),
5.9.8. Теоретическая, прикладная и сравнительно-сопоставительная лингвистика (филологические науки)";с 08.02.2023;
5.;"Acta medica Eurasica
(перевод наименования на государственный язык Российской Федерации: Медицинский вестник Евразии)";2413-4864;"1.5.22. Клеточная биология (медицинские науки),
3.1.7. Стоматология (медицинские науки),
Психиатрия и наркология (медицинские науки), Внутренние болезни (медицинские науки),
3.1.25. Лучевая диагностика (медицинские науки),
3.3.6. Фармакология, клиническая фармакология (медицинские науки)";с 17.06.2022;
6.;"Advanced Engineering Research
(перевод наименования на государственный язык Российской Федерации: Современные инженерные исследования)
(до 22.12.2020 наименование в Перечне «Вестник Донского государственного технического университета» ISSN 1992-5980)";2687-1653;"01.02.01 – Теоретическая механика (технические науки),
01.02.06 – Динамика, прочность машин, приборов и аппаратуры (технические науки),
05.02.02 – Машиноведение системы приводов и детали машин (технические науки),
05.02.11 – Методы контроля и диагностика в машиностроении (технические науки),
05.13.17 – Теоретические основы информатики (технические науки)";"с 28.12.2018
по 16.10.2022";
;;;"1.1.8. Механика деформируемого твердого тела (технические науки),
1.1.8. Механика деформируемого твердого тела (физико-математические науки),
1.2.2. Математическое моделирование, численные методы и комплексы программ  (технические науки),
2.3.5. Математическое и программное обеспечение вычислительных систем, комплексов и компьютерных сетей (технические науки),
2.5.3. Трение и износ в машинах (технические науки),
Технология и оборудование механической и физико-технической обработки (технические науки), Технология машиностроения (технические науки),
2.5.8. Сварка, родственные процессы и технологии (технические науки)";с 01.02.2022;
;;;"1.1.7. Теоретическая механика, динамика машин (технические науки),
1.1.9. Механика жидкости, газа и плазмы (технические науки),
2.3.1. Системный анализ, управление и обработка информации, статистика (технические науки),
2.3.3. Автоматизация и управление технологическими процессами и производствами (технические науки),";с 07.03.2023;
;;;"2.3.7. Компьютерное моделирование и автоматизация проектирования (технические науки),
Компьютерное моделирование и автоматизация проектирования (физико- математические науки),
Информатика и информационные процессы (технические науки),
2.5.2. Машиноведение (технические науки),
Методы и приборы контроля и диагностики материалов, изделий, веществ и природной среды (технические науки), Гидравлические машины, вакуумная, компрессорная техника, гидро- и пневмосистемы (техническиенауки)";;
7.;"Advances in Law Studies
(перевод наименования на государственный язык Российской Федерации: Достижения в праве)";2409-5087;"– Теория и история права и государства; история учений о праве и государстве (юридические науки),
– Конституционное право; конституционный судебный процесс; муниципальное право (юридические науки),
12.00.14 – Административное право; административный процесс (юридические науки)";"с 28.12.2018
по 16.10.2022";
